"Suburb_Code","Suburb_Name","Total_15_24_yr"
"21039","Glenrowan West",3
"21040","Glenroy (Vic.)",2730
"21041","Glenthompson",12
"21042","Glomar Beach",0
"21043","Gnarwarre",32
"21044","Gnotuk",14
"21045","Gobarup",8
"21046","Gobur",5
"21047","Golden Beach (Vic.)",15
"21048","Golden Gully",20
"21049","Golden Point (Ballarat - Vic.)",358
"21050","Golden Point (Mount Alexander - Vic.)",12
"21051","Golden Square",1140
"21052","Goldie",30
"21053","Goldsborough (Vic.)",5
"21054","Gong Gong",0
"21055","Gonn Crossing",6
"21056","Goomalibee",18
"21057","Goon Nure",11
"21058","Goongerah",0
"21059","Gooram",17
"21060","Gooramadda",7
"21061","Goorambat",29
"21062","Goornong",83
"21063","Gooroc",0
"21064","Gorae",23
"21065","Gorae West",28
"21066","Gordon (Vic.)",99
"21067","Gormandale",27
"21068","Goroke",31
"21069","Goschen",3
"21070","Goughs Bay",17
"21071","Goulburn Weir",6
"21072","Gowanbrae",267
"21073","Gowanford",0
"21074","Gowangardie",0
"21075","Gowar East",0
"21076","Gower",7
"21077","Grahamvale",87
"21078","Grampians",0
"21079","Grand Ridge",0
"21080","Granite Rock",24
"21081","Grantville",66
"21082","Granya",10
"21083","Grassdale (Vic.)",3
"21084","Grassmere",47
"21085","Grays Bridge",0
"21086","Graytown",3
"21087","Gre Gre",3
"21088","Gre Gre North",4
"21089","Gre Gre South",0
"21090","Great Western",40
"21091","Gredgwin",0
"21092","Green Gully (Vic.)",6
"21093","Greendale (Vic.)",72
"21094","Greenhill (Vic.)",5
"21095","Greens Creek (Vic.)",0
"21096","Greensborough",2265
"21097","Greenvale (Vic.)",2491
"21098","Greenwald",5
"21099","Grenville",3
"21100","Greta (Vic.)",14
"21101","Greta South",8
"21102","Greta West",8
"21103","Grey River",0
"21104","Gringegalgona",0
"21105","Gritjurk",8
"21106","Grovedale",1880
"21107","Gruyere",128
"21108","Guildford (Vic.)",17
"21109","Gunbower",55
"21110","Gundowring",29
"21111","Gunyah",0
"21112","Guys Forest",0
"21113","Guys Hill",58
"21114","Gymbowen",3
"21115","Haddon",149
"21116","Hadfield",663
"21117","Hallam",1507
"21118","Hallora",12
"21119","Halls Gap",46
"21120","Hallston",15
"21121","Hamilton (Vic.)",1265
"21122","Hamlyn Heights",824
"21123","Hampton (Vic.)",1677
"21124","Hampton East",496
"21125","Hampton Park",3970
"21126","Hansonville",9
"21127","Happy Valley (Golden Plains - Vic.)",8
"21128","Happy Valley (Swan Hill - Vic.)",15
"21129","Harcourt",93
"21130","Harcourt North",26
"21131","Harkaway",124
"21132","Harmers Haven",3
"21133","Harrietville",68
"21134","Harrow",6
"21135","Harston",19
"21136","Hastings (Vic.)",1102
"21137","Hattah",0
"21138","Havelock",5
"21139","Haven",151
"21140","Havilah (Vic.)",3
"21141","Hawkesdale",36
"21142","Hawkhurst",0
"21143","Hawthorn (Vic.)",4240
"21144","Hawthorn East",2048
"21145","Hazel Park",3
"21146","Hazelwood",20
"21147","Hazelwood North",168
"21148","Hazelwood South",30
"21149","Healesville",761
"21150","Heath Hill",17
"21151","Heathcote (Vic.)",202
"21152","Heathcote Junction",84
"21153","Heathcote South",0
"21154","Heatherton",341
"21155","Heathmere",32
"21156","Heathmont",1114
"21157","Hedley",12
"21158","Heidelberg",662
"21159","Heidelberg Heights",728
"21160","Heidelberg West",779
"21161","Hensley Park",5
"21162","Henty (Vic.)",4
"21163","Hepburn",42
"21164","Hepburn Springs",21
"21165","Herne Hill (Vic.)",441
"21166","Hernes Oak",39
"21167","Hesket",17
"21168","Hesse",0
"21169","Hexham (Vic.)",17
"21170","Heyfield",236
"21171","Heytesbury Lower",3
"21172","Heywood",157
"21173","Hiamdale",0
"21174","Hiawatha",0
"21175","High Camp",8
"21176","Highett",1027
"21177","Highlands",3
"21178","Highton",2655
"21179","Hilgay",0
"21180","Hill End (Vic.)",6
"21181","Hillcrest (Vic.)",15
"21182","Hilldene",22
"21183","Hillside (East Gippsland - Vic.)",18
"21184","Hillside (Melton - Vic.)",2516
"21185","Hinnomunjie",4
"21186","Hmas Cerberus",724
"21187","Hoddles Creek",54
"21188","Hollands Landing",0
"21189","Homebush (Vic.)",3
"21190","Homerton",0
"21191","Homewood",3
"21192","Hopetoun (Vic.)",67
"21193","Hopetoun Park",102
"21194","Hoppers Crossing",5670
"21195","Hordern Vale",4
"21196","Horfield",8
"21197","Horsham",1676
"21198","Hotham Heights",319
"21199","Hotspur",6
"21200","Howes Creek",8
"21201","Howitt Plains",0
"21202","Howqua",31
"21203","Howqua Hills",0
"21204","Howqua Inlet",3
"21205","Hughesdale",1042
"21206","Humevale",33
"21207","Hunter",7
"21208","Hunterston",3
"21209","Huntingdale (Vic.)",258
"21210","Huntly",316
"21211","Huntly North",3
"21212","Huon",25
"21213","Huon Creek",6
"21214","Hurstbridge",459
"21215","Icy Creek",0
"21216","Iguana Creek",3
"21217","Illabarook",4
"21218","Illawarra",8
"21219","Illowa",37
"21220","Indented Head",61
"21221","Indigo Valley",28
"21222","Inglewood (Vic.)",71
"21223","Ingliston",3
"21224","Invergordon (Vic.)",62
"21225","Inverleigh",125
"21226","Inverloch",344
"21227","Invermay (Vic.)",97
"21228","Invermay Park",239
"21229","Iona",33
"21230","Iraak",13
"21231","Irishtown (Vic.)",0
"21232","Ironbark (Vic.)",140
"21233","Irrewarra",35
"21234","Irrewillipe",16
"21235","Irrewillipe East",9
"21236","Irymple (Vic.)",654
"21237","Ivanhoe (Vic.)",1494
"21238","Ivanhoe East",496
"21239","Jacana",266
"21240","Jack River",12
"21241","Jackass Flat",198
"21242","Jacob Creek",0
"21243","Jam Jerrup",9
"21244","Jamieson (Vic.)",14
"21245","Jan Juc",382
"21246","Jancourt",6
"21247","Jancourt East",24
"21248","Jarklin",5
"21249","Jarrahmond",7
"21250","Jarvis Creek",4
"21251","Jeeralang",0
"21252","Jeeralang Junction",43
"21253","Jeetho",7
"21254","Jeffcott",3
"21255","Jeffcott North",0
"21256","Jeparit",33
"21257","Jericho (Vic.)",0
"21258","Jeruk",0
"21259","Jil Jil",3
"21260","Jindivick",52
"21261","Joel Joel",3
"21262","Joel South",4
"21263","Johanna",5
"21264","Johnsonville",17
"21265","Joyces Creek",3
"21266","Jumbuk",0
"21267","Jumbunna",13
"21268","Junction Village",90
"21269","Jung",82
"21270","Jungaburra",0
"21271","Junortoun",376
"21272","Kaarimba",9
"21273","Kadnook",3
"21274","Kalimna",104
"21275","Kalimna West",13
"21276","Kalkallo",13
"21277","Kalkee",0
"21278","Kallista",145
"21279","Kalorama",113
"21280","Kalpienung",6
"21281","Kamarooka",8
"21282","Kamarooka North",0
"21283","Kanagulk",0
"21284","Kancoona",3
"21285","Kangaroo Flat (Vic.)",1174
"21286","Kangaroo Ground",164
"21287","Kaniva",81
"21288","Kanumbra",0
"21289","Kanya",0
"21290","Kanyapella",16
"21291","Karabeal",3
"21292","Kardella",15
"21293","Kardella South",12
"21294","Kariah",9
"21295","Karnak",0
"21296","Karramomus",3
"21297","Karyrie",3
"21298","Katamatite",51
"21299","Katamatite East",4
"21300","Katandra",17
"21301","Katandra West",59
"21302","Katunga",124
"21303","Kawarren",17
"21304","Kealba",464
"21305","Keely",12
"21306","Keilor",779
"21307","Keilor Downs",1306
"21308","Keilor East",1571
"21309","Keilor Lodge",285
"21310","Keilor North",4
"21311","Keilor Park",247
"21312","Kellalac",0
"21313","Kelvin View",0
"21314","Kenley",8
"21315","Kenmare (Vic.)",0
"21316","Kennedys Creek",8
"21317","Kennett River",0
"21318","Kennington",913
"21319","Kensington (Vic.)",1180
"21320","Kerang",393
"21321","Kerang East",3
"21322","Kergunyah",33
"21323","Kergunyah South",8
"21324","Kernot",10
"21325","Kerrie",3
"21326","Kerrisdale",6
"21327","Kevington",4
"21328","Kew (Vic.)",3587
"21329","Kew East",879
"21330","Kewell",8
"21331","Keysborough",3543
"21332","Kialla",779
"21333","Kialla East",15
"21334","Kialla West",49
"21335","Kiata",4
"21336","Kiewa",47
"21337","Kilcunda",19
"21338","Killara (Glenelg - Vic.)",0
"21339","Killara (Wodonga - Vic.)",62
"21340","Killarney (Vic.)",33
"21341","Killawarra (Vic.)",51
"21342","Killingworth (Vic.)",8
"21343","Kilmany",15
"21344","Kilmore",1130
"21345","Kilmore East",58
"21346","Kilsyth",1151
"21347","Kilsyth South",545
"21348","Kimbolton (Vic.)",0
"21349","King Valley",10
"21350","Kinglake",179
"21351","Kinglake Central",41
"21352","Kinglake West",114
"21353","Kingower",3
"21354","Kings Park (Vic.)",1099
"21355","Kingsbury",721
"21356","Kingston (Vic.)",21
"21357","Kingsville",308
"21358","Kinnabulla",3
"21359","Kinypanial",0
"21360","Kirkstall",42
"21361","Kirwans Bridge",10
"21362","Kithbrook",5
"21363","Knebsworth",0
"21364","Knockwood",0
"21365","Knowsley",15
"21366","Knoxfield",939
"21367","Koallah",3
"21368","Koetong",3
"21369","Kolora",4
"21370","Kongwak",20
"21371","Konongwootong",3
"21372","Koo Wee Rup",448
"21373","Koo Wee Rup North",0
"21374","Kooloonong",11
"21375","Koonda",0
"21376","Koondrook",96
"21377","Koonoomoo",44
"21378","Koonwarra",48
"21379","Kooreh",0
"21380","Koorlong",41
"21381","Koornalla",6
"21382","Kooroocheang",3
"21383","Koorool",0
"21384","Koorooman",8
"21385","Kooyong",118
"21386","Koriella",0
"21387","Korobeit",11
"21388","Koroit",209
"21389","Korong Vale",9
"21390","Koroop",9
"21391","Korumburra",483
"21392","Korumburra South",4
"21393","Korweinguboora",9
"21394","Kotta",11
"21395","Kotupna",17
"21396","Koyuga",22
"21397","Krowera",5
"21398","Kulwin (Vic.)",0
"21399","Kunat",3
"21400","Kurraca",3
"21401","Kurraca West",0
"21402","Kurting",3
"21403","Kurunjang",1357
"21404","Kyabram",791
"21405","Kyabram South",10
"21406","Kyneton",661
"21407","Kyneton South",11
"21408","Kyvalley",35
"21409","Laanecoorie",8
"21410","Laang",6
"21411","Labertouche",48
"21412","Laceby",19
"21413","Ladys Pass",7
"21414","Laen East",0
"21415","Laen North",0
"21416","Lah",3
"21417","Laharum",20
"21418","Lake Boga",71
"21419","Lake Bolac",12
"21420","Lake Bunga",35
"21421","Lake Charm",27
"21422","Lake Condah",0
"21423","Lake Eildon",0
"21424","Lake Eppalock",0
"21425","Lake Fyans",4
"21426","Lake Gardens",217
"21427","Lake Goldsmith",0
"21428","Lake Lonsdale",3
"21429","Lake Marmal",0
"21430","Lake Meran",0
"21431","Lake Mundi",0
"21432","Lake Powell",3
"21433","Lake Rowan",5
"21434","Lake Tyers",5
"21435","Lake Tyers Beach",48
"21436","Lake Tyrrell",0
"21437","Lake Wellington",0
"21438","Lake Wendouree",266
"21439","Lake Wongan",0
"21440","Lakes Entrance",402
"21441","Lal Lal",46
"21442","Lalbert",15
"21443","Lalor",2716
"21444","Lamplough",3
"21445","Lancaster",44
"21446","Lance Creek",19
"21447","Lancefield",222
"21448","Landsborough (Vic.)",17
"21449","Landsborough West",3
"21450","Lang Lang",191
"21451","Lang Lang East",10
"21452","Langdons Hill",0
"21453","Langi Kal Kal",8
"21454","Langi Logan",0
"21455","Langkoop",10
"21456","Langley",5
"21457","Langsborough",20
"21458","Langwarrin",3092
"21459","Langwarrin South",189
"21460","Lara",1995
"21461","Lardner",12
"21462","Larpent",7
"21463","Lascelles",8
"21464","Launching Place",301
"21465","Lauriston",17
"21466","Lavers Hill",10
"21467","Laverton (Vic.)",762
"21468","Laverton North",4
"21469","Lawler",4
"21470","Lawloit",6
"21471","Lawrence (Vic.)",0
"21472","Leaghur",0
"21473","Learmonth (Vic.)",34
"21474","Ledcourt",3
"21475","Leichardt",19
"21476","Leigh Creek (Vic.)",0
"21477","Leitchville",50
"21478","Lemnos",27
"21479","Leneva",78
"21480","Leonards Hill",5
"21481","Leongatha",579
"21482","Leongatha North",13
"21483","Leongatha South",79
"21484","Leopold",1470
"21485","Lerderderg",0
"21486","Leslie Manor",4
"21487","Lethbridge",129
"21488","Lexton",17
"21489","Licola",0
"21490","Licola North",0
"21491","Lillico (Vic.)",11
"21492","Lillicur",3
"21493","Lillimur",7
"21494","Lilliput",7
"21495","Lilydale (Vic.)",2215
"21496","Lima",7
"21497","Lima East",10
"21498","Lima South",4
"21499","Limestone (Vic.)",8
"21500","Lindenow",32
"21501","Lindenow South",43
"21502","Lindsay",3
"21503","Lindsay Point",8
"21504","Linga",0
"21505","Linton",42
"21506","Liparoo",5
"21507","Lismore (Vic.)",27
"21508","Litchfield",8
"21509","Little Desert",0
"21510","Little Hampton",3
"21511","Little River (Vic.)",181
"21512","Llanelly",0
"21513","Llowalong",3
"21514","Loch",34
"21515","Loch Sport",24
"21516","Loch Valley",0
"21517","Lockington",99
"21518","Locksley (Vic.)",7
"21519","Lockwood",100
"21520","Lockwood South",99
"21521","Loddon Vale",4
"21522","Logan",3
"21523","Londrigan",12
"21524","Long Forest",46
"21525","Long Gully",504
"21526","Longford (Vic.)",143
"21527","Longlea",59
"21528","Longwarry",219
"21529","Longwarry North",22
"21530","Longwood (Vic.)",16
"21531","Longwood East",8
"21532","Lorne (Vic.)",84
"21533","Lorquon",0
"21534","Lovely Banks",395
"21535","Lower Moira",0
"21536","Lower Norton",25
"21537","Lower Plenty",462
"21538","Loy Yang",0
"21539","Lubeck",3
"21540","Lucas",121
"21541","Lucknow (Vic.)",140
"21542","Lucyvale",0
"21543","Lurg",11
"21544","Lynbrook",1144
"21545","Lyndhurst (Vic.)",648
"21546","Lyons (Vic.)",3
"21547","Lyonville",12
"21548","Lysterfield",1193
"21549","Lysterfield South",192
"21550","Macarthur (Vic.)",42
"21551","Macclesfield (Vic.)",100
"21552","Macedon",204
"21553","Macks Creek",5
"21554","Macleod (Vic.)",1091
"21555","Macorna",16
"21556","Macorna North",7
"21557","Macs Cove",9
"21558","Madalya",0
"21559","Maddingley",397
"21560","Mafeking",0
"21561","Maffra (Vic.)",598
"21562","Maffra West Upper",5
"21563","Magpie",46
"21564","Maiden Gully",592
"21565","Maidstone",1314
"21566","Mailors Flat",72
"21567","Main Lead",3
"21568","Main Ridge",34
"21569","Maindample",24
"21570","Maintongoon",0
"21571","Major Plains",3
"21572","Majorca",17
"21573","Maldon (Vic.)",77
"21574","Mallacoota",62
"21575","Malmsbury",171
"21576","Malvern (Vic.)",1127
"21577","Malvern East",3680
"21578","Mambourin",5
"21579","Manangatang",24
"21580","Mandurang",70
"21581","Mandurang South",20
"21582","Mangalore (Vic.)",15
"21583","Manifold Heights",295
"21584","Mannerim",10
"21585","Mannibadar",8
"21586","Manns Beach",0
"21587","Manorina",0
"21588","Mansfield (Vic.)",455
"21589","Maramingo Creek",0
"21590","Marcus Hill",17
"21591","Mardan",33
"21592","Marengo (Vic.)",13
"21593","Maribyrnong",1927
"21594","Marionvale",17
"21595","Markwood",11
"21596","Marlbed",0
"21597","Marlo",23
"21598","Marnoo",5
"21599","Marnoo East",0
"21600","Marnoo West",0
"21601","Marong",138
"21602","Maroona",8
"21603","Marraweeney",4
"21604","Marshall",213
"21605","Marthavale",0
"21606","Marungi",10
"21607","Maryborough (Vic.)",843
"21608","Maryknoll",100
"21609","Marysville",33
"21610","Maryvale (Vic.)",5
"21611","Massey",0
"21612","Matlock",0
"21613","Maude (Vic.)",30
"21614","McCrae",210
"21615","McIntyre",3
"21616","McKenzie Creek",14
"21617","McKenzie Hill",68
"21618","McKinnon",857
"21619","McLoughlins Beach",9
"21620","McMahons Creek",13
"21621","McMillans",9
"21622","Mead",12
"21623","Meadow Creek",12
"21624","Meadow Heights",2470
"21625","Meatian",3
"21626","Meeniyan",77
"21627","Meering West",0
"21628","Meerlieu",12
"21629","Melbourne",17712
"21630","Melbourne Airport",51
"21631","Melton (Vic.)",989
"21632","Melton South",1395
"21633","Melton West",2367
"21634","Melville Forest",9
"21635","Melwood",0
"21636","Mena Park",4
"21637","Mentone",1393
"21638","Menzies Creek",137
"21639","Mepunga",4
"21640","Mepunga East",13
"21641","Mepunga West",5
"21642","Merbein",311
"21643","Merbein South",42
"21644","Merbein West",27
"21645","Meredith",71
"21646","Meringur",7
"21647","Merino",21
"21648","Mernda",1758
"21649","Merriang",12
"21650","Merriang South",7
"21651","Merricks",15
"21652","Merricks Beach",7
"21653","Merricks North",38
"21654","Merrigum",75
"21655","Merrijig (East Gippsland - Vic.)",0
"21656","Merrijig (Mansfield - Vic.)",169
"21657","Merrimu",50
"21658","Merrinee",7
"21659","Merton",10
"21660","Metcalfe",15
"21661","Metcalfe East",0
"21662","Metung",66
"21663","Mia Mia (Vic.)",13
"21664","Mickleham",427
"21665","Middle Creek",0
"21666","Middle Park (Vic.)",297
"21667","Middle Tarwin",7
"21668","Miepoll",20
"21669","Miga Lake",0
"21670","Milawa",47
"21671","Mildura",4181
"21672","Mill Park",4406
"21673","Millbrook (Vic.)",22
"21674","Millgrove",186
"21675","Milloo",5
"21676","Milltown",6
"21677","Milnes Bridge",3
"21678","Mincha",4
"21679","Mincha West",3
"21680","Miners Rest",310
"21681","Mingay",12
"21682","Minhamite",7
"21683","Minimay",9
"21684","Mininera",5
"21685","Minjah",3
"21686","Minmindie",3
"21687","Minyip",35
"21688","Miowera",0
"21689","Miralie",0
"21690","Miram",8
"21691","Mirboo",17
"21692","Mirboo North",226
"21693","Mirranatwa",0
"21694","Mitcham (Vic.)",1693
"21695","Mitchell Park (Vic.)",132
"21696","Mitchellstown",4
"21697","Mitiamo",7
"21698","Mitre",9
"21699","Mitta Mitta",12
"21700","Mittyack",0
"21701","Mockinya",0
"21702","Modella",21
"21703","Modewarre",43
"21704","Moe",1096
"21705","Moe South",65
"21706","Moggs Creek",11
"21707","Moglonemby",0
"21708","Mokepilly",5
"21709","Molesworth (Vic.)",6
"21710","Moliagul",3
"21711","Molka",3
"21712","Mollongghip",7
"21713","Mologa",4
"21714","Molyullah",11
"21715","Monbulk",405
"21716","Monegeetta",28
"21717","Mongans Bridge",3
"21718","Monomak",0
"21719","Monomeith",12
"21720","Mont Albert",734
"21721","Mont Albert North",666
"21722","Montgomery",0
"21723","Montmorency",906
"21724","Montrose (Vic.)",811
"21725","Moolap",143
"21726","Moolerr",3
"21727","Moolort",4
"21728","Moonambel",9
"21729","Moondarra",3
"21730","Moonee Ponds",1743
"21731","Moonlight Flat (Central Goldfields - Vic.)",6
"21732","Moonlight Flat (Mount Alexander - Vic.)",5
"21733","Moora (Vic.)",0
"21734","Moorabbin",665
"21735","Moorabbin Airport",0
"21736","Moorabool",10
"21737","Mooralla",10
"21738","Moorilim",0
"21739","Moormbool West",0
"21740","Moornapa",3
"21741","Moorngag",12
"21742","Moorooduc",156
"21743","Mooroolbark",2935
"21744","Mooroopna",950
"21745","Mooroopna North",13
"21746","Mooroopna North West",3
"21747","Moranding",25
"21748","Mordialloc",776
"21749","Morgiana",0
"21750","Moriac",91
"21751","Mornington (Vic.)",2221
"21752","Moroka",0
"21753","Morrisons",17
"21754","Morrl Morrl",0
"21755","Mortlake (Vic.)",118
"21756","Morton Plains",0
"21757","Morwell",1680
"21758","Mossiface",11
"21759","Mount Alfred",0
"21760","Mount Beauty",61
"21761","Mount Beckworth",0
"21762","Mount Best",0
"21763","Mount Bolton",3
"21764","Mount Bruno",11
"21765","Mount Buffalo",0
"21766","Mount Buller",499
"21767","Mount Burnett",23
"21768","Mount Bute",6
"21769","Mount Camel",6
"21770","Mount Cameron",0
"21771","Mount Clear",580
"21772","Mount Cole",0
"21773","Mount Cole Creek",0
"21774","Mount Cottrell",56
"21775","Mount Dandenong",128
"21776","Mount Doran",4
"21777","Mount Dryden",4
"21778","Mount Duneed",232
"21779","Mount Eccles",3
"21780","Mount Egerton",61
"21781","Mount Eliza",2091
"21782","Mount Emu",3
"21783","Mount Evelyn",1358
"21784","Mount Franklin",3
"21785","Mount Glasgow",7
"21786","Mount Helen",903
"21787","Mount Hooghly",0
"21788","Mount Lonarch",3
"21789","Mount Macedon",102
"21790","Mount Major",0
"21791","Mount Martha",1914
"21792","Mount Mercer",4
"21793","Mount Moriac",33
"21794","Mount Napier",0
"21795","Mount Pleasant (Vic.)",397
"21796","Mount Prospect",3
"21797","Mount Richmond",7
"21798","Mount Rowan",30
"21799","Mount Sabine",0
"21800","Mount Tassie",0
"21801","Mount Taylor",27
"21802","Mount Toolebewong",12
"21803","Mount Wallace",6
"21804","Mount Waverley",4639
"21805","Mountain Bay",0
"21806","Mountain View (Vic.)",7
"21807","Moutajup",15
"21808","Moyhu",46
"21809","Moyreisk",5
"21810","Moyston",15
"21811","Muckatah",23
"21812","Muckleford",48
"21813","Muckleford South",5
"21814","Mudgegonga",13
"21815","Mulgrave (Vic.)",2280
"21816","Mumbannar",16
"21817","Mundoona",7
"21818","Munro",11
"21819","Muntham",0
"21820","Murchison (Vic.)",70
"21821","Murchison East",15
"21822","Murchison North",25
"21823","Murgheboluc",14
"21824","Murmungee",4
"21825","Murnungin",0
"21826","Murphys Creek (Vic.)",3
"21827","Murra Warra",3
"21828","Murrabit",12
"21829","Murrabit West",0
"21830","Murrawee",24
"21831","Murray-Sunset",0
"21832","Murraydale",12
"21833","Murrayville",16
"21834","Murrindal",0
"21835","Murrindindi",3
"21836","Murroon",4
"21837","Murrumbeena",1291
"21838","Murtoa",90
"21839","Musk",10
"21840","Musk Vale",18
"21841","Muskerry",6
"21842","Myall (Buloke - Vic.)",0
"21843","Myall (Gannawarra - Vic.)",10
"21844","Myamyn",6
"21845","Myers Flat",45
"21846","Myola (Vic.)",4
"21847","Myrniong",71
"21848","Myrrhee",13
"21849","Myrtle Creek (Vic.)",4
"21850","Myrtlebank",10
"21851","Myrtleford",298
"21852","Mysia",4
"21853","Mystic Park",27
"21854","Mywee",0
"21855","Nagambie",176
"21856","Nalangil",13
"21857","Nalinga",6
"21858","Nambrok",29
"21859","Nandaly",3
"21860","Nangana",3
"21861","Nangeela",3
"21862","Nangiloc",18
"21863","Nanneella",53
"21864","Nap Nap Marra",0
"21865","Napoleons",90
"21866","Nar Nar Goon",157
"21867","Nar Nar Goon North",105
"21868","Narbethong (Vic.)",27
"21869","Nareeb",3
"21870","Nareen",7
"21871","Nareewillock",0
"21872","Nariel Valley",9
"21873","Naring",14
"21874","Naringal",11
"21875","Naringal East",15
"21876","Naroghid",5
"21877","Narracan",21
"21878","Narraport",7
"21879","Narrapumelap South",0
"21880","Narrawong",25
"21881","Narre Warren",3979
"21882","Narre Warren East",79
"21883","Narre Warren North",1341
"21884","Narre Warren South",4971
"21885","Narrung (Vic.)",0
"21886","Nathalia",203
"21887","Natimuk",37
"21888","Natte Yallock",10
"21889","Natya",5
"21890","Navarre",9
"21891","Navigators",26
"21892","Nayook",10
"21893","Neds Corner",6
"21894","Neereman",6
"21895","Neerim",26
"21896","Neerim East",26
"21897","Neerim Junction",10
"21898","Neerim North",4
"21899","Neerim South",136
"21900","Neilborough",30
"21901","Nelse",0
"21902","Nelson (Vic.)",12
"21903","Nerrena",25
"21904","Nerrin Nerrin",3
"21905","Nerrina",115
"21906","Nerring",3
"21907","Netherby (Vic.)",11
"21908","Neuarpurr",9
"21909","New Gisborne",289
"21910","Newborough",885
"21911","Newbridge (Vic.)",18
"21912","Newbury",5
"21913","Newcomb",586
"21914","Newfield",7
"21915","Newham",30
"21916","Newhaven",47
"21917","Newington (Vic.)",367
"21918","Newlands Arm",46
"21919","Newlyn",7
"21920","Newlyn North",9
"21921","Newmerella",36
"21922","Newport (Vic.)",1272
"21923","Newry",57
"21924","Newstead (Vic.)",71
"21925","Newtown (Golden Plains - Vic.)",7
"21926","Newtown (Greater Geelong - Vic.)",1282
"21927","Nhill",239
"21928","Nichols Point",190
"21929","Nicholson (Vic.)",85
"21930","Niddrie",631
"21931","Nilma",34
"21932","Nilma North",41
"21933","Ninda",0
"21934","Nine Mile (Vic.)",8
"21935","Nintingbool",22
"21936","Ninyeunook",4
"21937","Nirranda",3
"21938","Nirranda East",3
"21939","Nirranda South",9
"21940","Noble Park",4098
"21941","Noble Park North",915
"21942","Noojee",9
"21943","Noorat",50
"21944","Noorat East",4
"21945","Noorinbee",9
"21946","Noorinbee North",0
"21947","Noradjuha",3
"21948","Norlane",1217
"21949","Normanville (Vic.)",7
"21950","Norong",21
"21951","North Bendigo",540
"21952","North Blackwood",3
"21953","North Geelong",318
"21954","North Melbourne",4109
"21955","North Shore (Vic.)",27
"21956","North Wangaratta",25
"21957","North Warrandyte",406
"21958","North Wonthaggi",300
"21959","Northcote",2545
"21960","Northwood (Vic.)",18
"21961","Norval",5
"21962","Notting Hill",841
"21963","Nowa Nowa",19
"21964","Nowhere Creek",0
"21965","Nowie",0
"21966","Nug Nug",4
"21967","Nuggetty",5
"21968","Nulla Vale",0
"21969","Nullawarre",30
"21970","Nullawarre North",16
"21971","Nullawil",6
"21972","Numurkah",502
"21973","Nunawading",1298
"21974","Nungurner",22
"21975","Nunniong",0
"21976","Nurcoung",4
"21977","Nurrabiel",5
"21978","Nurran",0
"21979","Nutfield",15
"21980","Nyah",66
"21981","Nyah West",76
"21982","Nyarrin",0
"21983","Nyerimilang",0
"21984","Nyora (Vic.)",156
"21985","Nyrraby",0
"21986","Oak Park",720
"21987","Oaklands Junction",57
"21988","Oakleigh",1083
"21989","Oakleigh East",1076
"21990","Oakleigh South",1114
"21991","Oakvale",0
"21992","Ocean Grange",0
"21993","Ocean Grove",1299
"21994","Officer",973
"21995","Officer South",13
"21996","Old Tallangatta",0
"21997","Olinda (Vic.)",147
"21998","Ombersley",15
"21999","Omeo",30
"22000","Omeo Valley",0
"22001","Ondit",12
"22002","Orbost",187
"22003","Orford (Vic.)",9
"22004","Ormond",1113
"22005","Orrvale",70
"22006","Osbornes Flat",18
"22007","Outtrim",33
"22008","Ouyen",107
"22009","Ovens",23
"22010","Oxley (Vic.)",56
"22011","Oxley Flats",7
"22012","Ozenkadnook",0
"22013","Paaratte",0
"22014","Painswick",0
"22015","Pakenham",5733
"22016","Pakenham South",26
"22017","Pakenham Upper",154
"22018","Panitya (Vic.)",6
"22019","Panmure",49
"22020","Panton Hill",153
"22021","Paradise (Vic.)",3
"22022","Paradise Beach",5
"22023","Paraparap",15
"22024","Park Orchards",650
"22025","Parkdale",1402
"22026","Parkville (Vic.)",3495
"22027","Parwan",15
"22028","Paschendale",4
"22029","Pascoe Vale",1872
"22030","Pascoe Vale South",1220
"22031","Pastoria",0
"22032","Pastoria East",4
"22033","Patchewollock",12
"22034","Patho",15
"22035","Patterson Lakes",860
"22036","Patyah",13
"22037","Paynesville (Vic.)",235
"22038","Pearcedale",520
"22039","Pearsondale",24
"22040","Peechelba",17
"22041","Peechelba East",5
"22042","Pelluebla",3
"22043","Pennyroyal",3
"22044","Penshurst (Vic.)",48
"22045","Pental Island",17
"22046","Pentland Hills",26
"22047","Percydale",4
"22048","Peronne",3
"22049","Perry Bridge",6
"22050","Peterborough (Vic.)",16
"22051","Petticoat Creek",0
"22052","Pheasant Creek (Vic.)",33
"22053","Piangil",18
"22054","Picola",15
"22055","Picola West",0
"22056","Piedmont",3
"22057","Pier Milan",0
"22058","Pigeon Ponds",3
"22059","Piggoreet",3
"22060","Pimpinio",16
"22061","Pine Grove (Vic.)",9
"22062","Pine Lodge (Vic.)",30
"22063","Pine Mountain (Vic.)",7
"22064","Pine View",0
"22065","Pioneer Bay",32
"22066","Pipers Creek",12
"22067","Pira",0
"22068","Piries",8
"22069","Pirron Yallock",10
"22070","Pitfield",5
"22071","Pittong",0
"22072","Plenty (Vic.)",399
"22073","Plumpton (Vic.)",424
"22074","Point Cook",5170
"22075","Point Leo",16
"22076","Point Lonsdale",172
"22077","Point Wilson",0
"22078","Polisbet",0
"22079","Pomborneit",7
"22080","Pomborneit East",3
"22081","Pomborneit North",8
