"Suburb_Code","Suburb_Name","Total_15_24_yr"
"20236","Big Pats Creek",8
"20237","Biggara",7
"20238","Billabong",0
"20239","Bimbourie",0
"20240","Bindi",6
"20241","Binginwarri",9
"20242","Bingo Munjie",0
"20243","Birchip",65
"20244","Birchip West",0
"20245","Birdwoodton",89
"20246","Birregurra",69
"20247","Bittern",417
"20248","Black Hill (Vic.)",283
"20249","Black Range (Vic.)",13
"20250","Black Rock (Vic.)",620
"20251","Blackburn",1805
"20252","Blackburn North",913
"20253","Blackburn South",1227
"20254","Blackwarry",0
"20255","Blackwood (Vic.)",15
"20256","Blairgowrie",165
"20257","Blakeville",0
"20258","Blampied",19
"20259","Blind Bight",152
"20260","Blowhard",11
"20261","Bo Peep",3
"20262","Bobinawarrah",5
"20263","Bochara",4
"20264","Bogong",10
"20265","Boho",0
"20266","Boho South",9
"20267","Boigbeat",0
"20268","Boinka",0
"20269","Boisdale",34
"20270","Bolangum",0
"20271","Bolinda",18
"20272","Bolton",0
"20273","Bolwarra (Vic.)",41
"20274","Bolwarrah",3
"20275","Bona Vista",12
"20276","Bonang",0
"20277","Bonbeach",512
"20278","Bonegilla",356
"20279","Boneo",67
"20280","Bonn",0
"20281","Bonnie Doon (Vic.)",48
"20282","Bonshaw (Vic.)",39
"20283","Bookaar",24
"20284","Boola",0
"20285","Boolarong",0
"20286","Boolarra",102
"20287","Boolarra South",9
"20288","Boole Poole",0
"20289","Boolite",0
"20290","Boomahnoomoonah",0
"20291","Boonah (Vic.)",0
"20292","Boorcan",13
"20293","Boorhaman",7
"20294","Boorhaman East",0
"20295","Boorhaman North",4
"20296","Boorolite",9
"20297","Boorool",0
"20298","Boort",58
"20299","Boosey",14
"20300","Boralma",5
"20301","Bornes Hill",3
"20302","Boronia",2416
"20303","Borung",5
"20304","Bostocks Creek",7
"20305","Botanic Ridge",423
"20306","Boundary Bend",8
"20307","Bowenvale",16
"20308","Boweya",3
"20309","Boweya North",9
"20310","Bowmans Forest",11
"20311","Bowser",4
"20312","Box Hill (Vic.)",2351
"20313","Box Hill North",1670
"20314","Box Hill South",1405
"20315","Boxwood",3
"20316","Bradford",0
"20317","Bradvale",0
"20318","Braeside",6
"20319","Brandy Creek (Vic.)",4
"20320","Branxholme",33
"20321","Bravington",0
"20322","Braybrook",1501
"20323","Breakaway Creek",4
"20324","Breakwater",122
"20325","Breamlea",4
"20326","Brenanah",3
"20327","Brewster",4
"20328","Briagolong",111
"20329","Briar Hill",306
"20330","Bridge Creek",4
"20331","Bridgewater (Vic.)",10
"20332","Bridgewater North",9
"20333","Bridgewater On Loddon",24
"20334","Bright (Vic.)",221
"20335","Brighton (Vic.)",2681
"20336","Brighton East",1767
