"Suburb_Code","Suburb_Name","Tot_15_24_FtPt"
"20237","Biggara",0
"20238","Billabong",0
"20239","Bimbourie",0
"20240","Bindi",0
"20241","Binginwarri",0
"20242","Bingo Munjie",0
"20243","Birchip",3
"20244","Birchip West",0
"20245","Birdwoodton",3
"20246","Birregurra",8
"20247","Bittern",32
"20248","Black Hill (Vic.)",62
"20249","Black Range (Vic.)",3
"20250","Black Rock (Vic.)",182
"20251","Blackburn",641
"20252","Blackburn North",270
"20253","Blackburn South",425
"20254","Blackwarry",0
"20255","Blackwood (Vic.)",4
"20256","Blairgowrie",18
"20257","Blakeville",0
"20258","Blampied",3
"20259","Blind Bight",9
"20260","Blowhard",0
"20261","Bo Peep",0
"20262","Bobinawarrah",0
"20263","Bochara",0
"20264","Bogong",0
"20265","Boho",0
"20266","Boho South",0
"20267","Boigbeat",0
"20268","Boinka",0
"20269","Boisdale",0
"20270","Bolangum",0
"20271","Bolinda",4
"20272","Bolton",0
"20273","Bolwarra (Vic.)",0
"20274","Bolwarrah",0
"20275","Bona Vista",3
"20276","Bonang",3
"20277","Bonbeach",90
"20278","Bonegilla",4
"20279","Boneo",6
"20280","Bonn",0
"20281","Bonnie Doon (Vic.)",0
"20282","Bonshaw (Vic.)",3
"20283","Bookaar",3
"20284","Boola",0
"20285","Boolarong",0
"20286","Boolarra",9
"20287","Boolarra South",0
"20288","Boole Poole",0
"20289","Boolite",0
"20290","Boomahnoomoonah",0
"20291","Boonah (Vic.)",0
"20292","Boorcan",0
"20293","Boorhaman",3
"20294","Boorhaman East",0
"20295","Boorhaman North",0
"20296","Boorolite",0
"20297","Boorool",0
"20298","Boort",0
"20299","Boosey",0
"20300","Boralma",0
"20301","Bornes Hill",0
"20302","Boronia",393
"20303","Borung",0
"20304","Bostocks Creek",0
"20305","Botanic Ridge",48
"20306","Boundary Bend",0
"20307","Bowenvale",0
"20308","Boweya",0
"20309","Boweya North",4
"20310","Bowmans Forest",0
"20311","Bowser",0
"20312","Box Hill (Vic.)",1123
"20313","Box Hill North",632
"20314","Box Hill South",590
"20315","Boxwood",0
"20316","Bradford",0
"20317","Bradvale",0
"20318","Braeside",0
"20319","Brandy Creek (Vic.)",0
"20320","Branxholme",3
"20321","Bravington",0
"20322","Braybrook",474
"20323","Breakaway Creek",0
"20324","Breakwater",19
"20325","Breamlea",0
"20326","Brenanah",0
"20327","Brewster",0
"20328","Briagolong",9
"20329","Briar Hill",68
"20330","Bridge Creek",0
"20331","Bridgewater (Vic.)",3
"20332","Bridgewater North",0
"20333","Bridgewater On Loddon",3
"20334","Bright (Vic.)",3
"20335","Brighton (Vic.)",914
"20336","Brighton East",586
"20337","Brim",0
"20338","Brimboal",0
"20339","Brimin",3
"20340","Brimpaen",0
"20341","Bringalbert",0
"20342","Brit Brit",0
"20343","Broadford",44
"20344","Broadmeadows (Vic.)",360
"20345","Broadwater (Vic.)",0
"20346","Brodribb River",0
"20347","Broken Creek",0
"20348","Bromley",0
"20349","Brookfield (Vic.)",154
"20350","Brooklyn (Vic.)",47
"20351","Brookville",0
"20352","Broomfield",3
"20353","Broughton (Vic.)",0
"20354","Brown Hill (Vic.)",61
"20355","Browns Plains (Vic.)",0
"20356","Bruarong",0
"20357","Brucknell",0
"20358","Brumby",0
"20359","Brunswick (Vic.)",1602
"20360","Brunswick East",639
"20361","Brunswick West",768
"20362","Bruthen",4
"20363","Buangor",0
"20364","Buchan",0
"20365","Buchan South",0
"20366","Buckland (Vic.)",0
"20367","Buckley",8
"20368","Buckley Swamp",0
"20369","Buckrabanyule",0
"20370","Budgee Budgee (Vic.)",0
"20371","Budgeree",0
"20372","Budgerum East",0
"20373","Buffalo",0
"20374","Buffalo River",4
"20375","Bulart",0
"20376","Buldah",0
"20377","Bulga (Vic.)",0
"20378","Bulgana",0
"20379","Bulla (Vic.)",8
"20380","Bullaharre",0
"20381","Bullarook",0
"20382","Bullarto",0
"20383","Bullarto South",0
"20384","Bulleen",471
"20385","Bullengarook",4
"20386","Bullioh",0
"20387","Bullumwaal",0
"20388","Buln Buln",9
"20389","Buln Buln East",3
"20390","Bumberrah",0
"20391","Bunbartha",0
"20392","Bundalaguah",0
"20393","Bundalong",7
"20394","Bundalong South",0
"20395","Bundara",0
"20396","Bunding",0
"20397","Bundoora (Vic.)",3173
"20398","Bung Bong",0
"20399","Bungador",0
"20400","Bungal",0
"20401","Bungalally",0
"20402","Bungaree (Vic.)",3
"20403","Bungeet",0
"20404","Bungeet West",0
"20405","Bungil (Vic.)",0
"20406","Bunguluke",0
"20407","Buninyong",80
"20408","Bunkers Hill",7
"20409","Bunyip",42
"20410","Bunyip North",0
"20411","Buragwonduc",0
"20412","Burkes Bridge",0
"20413","Burkes Flat",0
"20414","Burnbank",0
"20415","Burnewang",0
"20416","Burnley",34
"20417","Burnside (Vic.)",173
"20418","Burnside Heights",172
"20419","Burramboot",0
"20420","Burramine",0
"20421","Burramine South",0
"20422","Burrowye",0
"20423","Burrumbeet",0
"20424","Burwood (Vic.)",2491
"20425","Burwood East",726
"20426","Bushfield",5
"20427","Bushy Park (Vic.)",0
"20428","Butchers Ridge",0
"20429","Buxton (Vic.)",0
"20430","Byaduk",0
"20431","Byaduk North",0
"20432","Byawatha",0
"20433","Bylands",7
"20434","Byrneside",0
"20435","Cabarita (Vic.)",3
"20436","Cabbage Tree",0
"20437","Cabbage Tree Creek",0
"20438","Cadello",0
"20439","Cairnlea",446
"20440","Calder Park",0
"20441","Caldermeade",0
"20442","California Gully",38
"20443","Calivil",0
"20444","Callawadda",0
"20445","Callignee",3
"20446","Callignee North",0
"20447","Callignee South",0
"20448","Calrossie",0
"20449","Calulu",0
"20450","Cambarville",0
"20451","Camberwell (Vic.)",1317
"20452","Cambrian Hill",3
"20453","Campbellfield",141
"20454","Campbells Bridge",0
"20455","Campbells Creek",7
"20456","Campbells Forest",0
"20457","Campbelltown (Vic.)",0
"20458","Camperdown (Vic.)",14
"20459","Canadian",145
"20460","Canary Island",0
"20461","Caniambo",0
"20462","Cann River",0
"20463","Cannie",0
"20464","Cannons Creek",8
"20465","Cannum",0
"20466","Canterbury (Vic.)",506
"20467","Cape Bridgewater",0
"20468","Cape Clear",0
"20469","Cape Conran",0
"20470","Cape Otway",0
"20471","Cape Paterson",0
"20472","Cape Schanck",7
"20473","Cape Woolamai",5
"20474","Capels Crossing",0
"20475","Carag Carag",0
"20476","Caralulup",0
"20477","Caramut",0
"20478","Carapooee",0
"20479","Carapooee West",0
"20480","Carapook",0
"20481","Carboor",0
"20482","Cardigan",11
"20483","Cardigan Village",0
"20484","Cardinia",6
"20485","Cardross",3
"20486","Cargerie",0
"20487","Carina (Vic.)",0
"20488","Caringal",0
"20489","Carisbrook",8
"20490","Carlisle River",0
"20491","Carlsruhe",3
"20492","Carlton (Vic.)",6312
"20493","Carlton North",449
"20494","Carlyle",0
"20495","Carnegie",1228
"20496","Carngham",3
"20497","Caroline Springs",685
"20498","Carpendeit",0
"20499","Carrajung",0
"20500","Carrajung Lower",0
"20501","Carrajung South",0
"20502","Carranballac",0
"20503","Carron",0
"20504","Carrum",65
"20505","Carrum Downs",313
"20506","Carwarp",0
"20507","Cashmore",0
"20508","Cassilis (Vic.)",0
"20509","Castella",4
"20510","Casterton",8
"20511","Castle Creek (Vic.)",0
"20512","Castle Donnington",0
"20513","Castlemaine",51
"20514","Catani",11
"20515","Cathcart (Vic.)",0
"20516","Cathkin",0
"20517","Catumnal",0
"20518","Caulfield",299
"20519","Caulfield East",356
"20520","Caulfield North",804
"20521","Caulfield South",583
"20522","Caveat",0
"20523","Cavendish",0
"20524","Ceres",6
"20525","Chadstone",488
"20526","Chandlers Creek",0
"20527","Chapel Flat",0
"20528","Chapple Vale",0
"20529","Charam",0
"20530","Charlemont",4
"20531","Charleroi",0
"20532","Charlton (Vic.)",0
"20533","Chatsworth (Vic.)",0
"20534","Chelsea",123
"20535","Chelsea Heights",111
"20536","Cheltenham (Vic.)",586
"20537","Chepstowe",0
"20538","Cherokee",0
"20539","Cherrypool",0
"20540","Cheshunt",0
"20541","Cheshunt South",0
"20542","Chesney Vale",0
"20543","Chetwynd",0
"20544","Chewton",4
"20545","Chewton Bushlands",0
"20546","Childers (Vic.)",0
"20547","Chillingollah",0
"20548","Chiltern",7
"20549","Chiltern Valley",0
"20550","Chinangin",0
"20551","Chinkapook",0
"20552","Chintin",0
"20553","Chirnside Park",248
"20554","Chirrip",0
"20555","Chocolyn",0
"20556","Christmas Hills (Vic.)",8
"20557","Chum Creek",14
"20558","Churchill (Vic.)",198
"20559","Churchill Island",0
"20560","Chute",0
"20561","Clarendon (Vic.)",0
"20562","Claretown",0
"20563","Clarinda",346
"20564","Clarkefield",3
"20565","Clarkes Hill",0
"20566","Clayton",6041
"20567","Clayton South",706
"20568","Clear Lake",0
"20569","Clematis",0
"20570","Clifton Creek",0
"20571","Clifton Hill",180
"20572","Clifton Springs",111
"20573","Clonbinane",12
"20574","Clover Flat",0
"20575","Cloverlea",0
"20576","Club Terrace",0
"20577","Clunes (Vic.)",10
"20578","Clyde (Vic.)",36
"20579","Clyde North",162
"20580","Clydebank",0
"20581","Clydesdale (Vic.)",0
"20582","Coalville",0
"20583","Cobains",3
"20584","Cobaw",0
"20585","Cobbannah",0
"20586","Cobberas",0
"20587","Cobden",12
"20588","Cobram",34
"20589","Cobram East",0
"20590","Cobrico",0
"20591","Cobungra",0
"20592","Coburg",1120
"20593","Coburg North",253
"20594","Cocamba",0
"20595","Cochranes Creek",0
"20596","Cockatoo (Vic.)",54
"20597","Cocoroc",0
"20598","Codrington (Vic.)",0
"20599","Coghills Creek",3
"20600","Cohuna",17
"20601","Coimadai",11
"20602","Cokum",0
"20603","Colac",54
"20604","Colac Colac",0
"20605","Colac East",0
"20606","Colac West",0
"20607","Colbinabbin",0
"20608","Colbrook",0
"20609","Coldstream (Vic.)",35
"20610","Coleraine",3
"20611","Colignan",0
"20612","Collingwood (Vic.)",334
"20613","Combienbar",0
"20614","Concongella",0
"20615","Condah",0
"20616","Congupna",3
"20617","Connewarre",11
"20618","Connewirricoo",0
"20619","Coojar",0
"20620","Coolaroo",88
"20621","Cooma (Vic.)",0
"20622","Coomboona",0
"20623","Coomoora",0
"20624","Coongulla",0
"20625","Coonooer Bridge",0
"20626","Coonooer West",0
"20627","Cooriemungle",4
"20628","Cope Cope",0
"20629","Cora Lynn",0
"20630","Corack",0
"20631","Corack East",0
"20632","Coragulac",3
"20633","Coral Bank",0
"20634","Corindhap",5
"20635","Corinella (Vic.)",3
"20636","Corio",167
"20637","Corndale (Vic.)",0
"20638","Cornella",0
"20639","Cornishtown",0
"20640","Coronet Bay",3
"20641","Corop",0
"20642","Cororooke",3
"20643","Corringle",0
"20644","Corryong",0
"20645","Corunnun",3
"20646","Cosgrove (Vic.)",0
"20647","Cosgrove South",0
"20648","Costerfield",0
"20649","Cotswold",0
"20650","Cottles Bridge",19
"20651","Cowa",0
"20652","Cowangie",0
"20653","Cowes",16
"20654","Cowleys Creek",0
"20655","Cowwarr",10
"20656","Craigie (Vic.)",0
"20657","Craigieburn",1286
"20658","Cranbourne",295
"20659","Cranbourne East",233
"20660","Cranbourne North",404
"20661","Cranbourne South",49
"20662","Cranbourne West",240
"20663","Creek Junction",0
"20664","Creightons Creek",0
"20665","Cremorne (Vic.)",67
"20666","Cressy (Vic.)",0
"20667","Creswick",29
"20668","Creswick North",0
"20669","Crib Point",20
"20670","Crookayan",0
"20671","Crooked River",0
"20672","Cross Roads (Vic.)",0
"20673","Crossley",6
"20674","Crossover",3
"20675","Crowlands",3
"20676","Croxton East",0
"20677","Croydon (Vic.)",541
"20678","Croydon Hills",196
"20679","Croydon North",215
"20680","Croydon South",87
"20681","Crymelon",0
"20682","Cudgee",0
"20683","Cudgewa",0
"20684","Culgoa",0
"20685","Culla",0
"20686","Cullen",0
"20687","Cullulleraine",0
"20688","Cundare",0
"20689","Cundare North",0
"20690","Curdies River",0
"20691","Curdievale",0
"20692","Curlewis (Vic.)",17
"20693","Curyo",0
"20694","Dadswells Bridge",0
"20695","Daisy Hill (Vic.)",0
"20696","Dales Creek",4
"20697","Dallas",209
"20698","Dalmore",3
"20699","Daltons Bridge",0
"20700","Dalyenong",0
"20701","Dalyston",0
"20702","Dandenong",756
"20703","Dandenong North",638
"20704","Dandenong South",0
"20705","Dandongadale",0
"20706","Dargo",0
"20707","Darley",154
"20708","Darlimurla",0
"20709","Darlington (Vic.)",0
"20710","Darnum",5
"20711","Darraweit Guim",3
"20712","Darriman",0
"20713","Dartmoor (Vic.)",0
"20714","Dartmouth",0
"20715","Dawson (Vic.)",0
"20716","Daylesford",18
"20717","Dean",0
"20718","Deans Marsh",0
